product,product-href,price,mobo-type,chipset
ASUS Z97-AR (90MB0JL0-M0EAY0) LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813132751,294,intel,lga-1150
GIGABYTE GA-Q87TN LGA 1150 Intel Q87 HDMI SATA 6Gb/s USB 3.0 Thin Mini-ITX Intel Motherboard,https://www.newegg.com/p/N82E16813128670,189,intel,lga-1150
ASUS MAXIMUS VI HERO LGA 1150 Intel Z87 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813131989,296,intel,lga-1150
ASUS MAXIMUS VII HERO LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813132245,259,intel,lga-1150
ASUS H97-PLUS-R LGA 1150 Intel H97 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813132547,139,intel,lga-1150
ASRock Z97 Extreme4 LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813157503,259,intel,lga-1150
MSI MSI Gaming Z97-G45 Gaming LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/msi-gaming-z97-g45-gaming/p/N82E16813130771,247,intel,lga-1150
GIGABYTE G1 Gaming G1.Sniper Z87 LGA 1150 Intel Z87 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/gigabyte-g1-gaming-g1-sniper-z87/p/N82E16813128671,null,intel,lga-1150
ASRock ASRock Fatal1ty Gaming Fatal1ty Z97X Killer LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/asrock-fatal1ty-gaming-fatal1ty-z97x-killer/p/N82E16813157505,null,intel,lga-1150
GIGABYTE GA-Z97X-UD5H LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813128707,299,intel,lga-1150
MSI Z97 PC Mate LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813130779?&quicklink=true,null,intel,lga-1150
ASUS Z87I-DELUXE LGA 1150 Intel Z87 HDMI SATA 6Gb/s USB 3.0 Mini ITX Intel Motherboard,https://www.newegg.com/p/N82E16813132028,524,intel,lga-1150
