product,product-href,price
"16Gb (2X8Gb) Ram Memory Compatible with Hp Pavilion All-in-One 20-B314, 20-B319D, 20-B323W by CMS Brand (A7)",https://www.amazon.com/Memory-Compatible-Pavilion-20-B319D-20-B323W/dp/B010TW7VH8/ref=sr_1_531?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-531&ts_id=172500,66
G.SKILL Trident Z Neo (for AMD Ryzen) Series 16GB (2 x 8GB) 288-Pin RGB DDR4 SDRAM 3600mhZ Desktop F4-3600C18D-16GTZN,https://www.amazon.com/G-SKILL-Trident-288-Pin-3600mhZ-F4-3600C18D-16GTZN/dp/B07WGQZTKB/ref=sr_1_402?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-402&ts_id=172500,null
Crucial 32GB Kit (16GBx2) DDR4 2133 MT/s (PC4-17000) DR x8 SODIMM 260-Pin Memory - CT2K16G4SFD8213,https://www.amazon.com/Crucial-16GBx2-PC4-17000-SODIMM-260-Pin/dp/B015YPB8ME/ref=sr_1_69?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-69&ts_id=172500,159
Patriot Viper Elite 8GB 2400MHz CL 16 Single Channel DDR4 PC Memory Module Grey,https://www.amazon.com/Patriot-Memory-2400MHz-PC4-19200-Single/dp/B074Q1G6VR/ref=sr_1_76?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-76&ts_id=172500,32
"Samsung 8GB kit (2 x 4GB), 204-pin SODIMM, DDR3 PC3L-12800, 1600MHz ram Memory Module (M471B5173EB0-YK0 x 2)",https://www.amazon.com/Samsung-204-pin-PC3L-12800-1600MHz-M471B5173EB0-YK0/dp/B01CEHOUUM/ref=sr_1_839?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-839&ts_id=172500,31
OLOy DDR4 RAM 16GB (2x8GB) 2666 MHz CL19 1.2V 288-Pin Desktop Gaming UDIMM (MD4U0826190BHTDA),https://www.amazon.com/OLOy-288-Pin-Desktop-Gaming-MD4U0826190BHTDA/dp/B088T3VDBQ/ref=sr_1_244?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-244&ts_id=172500,49
Corsair Vengeance RGB Pro 32GB (4x8GB) DDR4 3200 (PC4-25600) C16 Desktop Memory – Black,https://www.amazon.com/Corsair-Vengeance-PC4-25600-Desktop-Memory/dp/B07RJXBMM7/ref=sr_1_317?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-317&ts_id=172500,192
"8Gb 2X4Gb Memory Ram Compatible with Hp Pavilion Notebook Dv6-2155Dx, Dv6-2154Ev, Dv6-2153El by CMS A35",https://www.amazon.com/Memory-Compatible-Dv6-2155Dx-Dv6-2154Ev-Dv6-2153El/dp/B00LCHO7N6/ref=sr_1_141?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-141&ts_id=172500,31
"16GB (1X16GB) Memory Ram Compatible with Dell OptiPlex 7071 Tower, Precision Workstation 5820 Inter Pentium Non ecc by CMS d25",https://www.amazon.com/Memory-Compatible-OptiPlex-Precision-Workstation/dp/B0892S6PN8/ref=sr_1_824?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-824&ts_id=172500,67
Patriot 16GB(2x8GB) Viper III DDR3 1866MHz (PC3 15000) CL10 Desktop Memory with Black Mamba Heatsink - PV316G186C0K,https://www.amazon.com/Patriot-1866MHz-Desktop-Memory-Heatsink/dp/B00453R90W/ref=sr_1_296?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-296&ts_id=172500,65
128GB (8 x 16GB) PC3-10600R ECC RAM Kit for Dell R510 (Renewed),https://www.amazon.com/16GB-ECC-Registered-Dell-Refurbished/dp/B07MW9CSQN/ref=sr_1_341?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-341&ts_id=172500,299
Kingston Memory KVR26N19S8/8 ValueRAM DDR4 8 GB DIMM 288-pin Computer Internal Memory,https://www.amazon.com/Kingston-KVR26N19S8-ValueRAM-Computer-Internal/dp/B072QYHKLR/ref=sr_1_252?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-252&ts_id=172500,38
"32GB 2x16GB RAM Memory Compatible with Dell Precision Tower 3000 Series (T3420), Precision Tower 3000 Series (T3620) by CMS C114",https://www.amazon.com/2x16GB-MEMORY-Compatible-Precision-Tower/dp/B07F3GSPQ7/ref=sr_1_292?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-292&ts_id=172500,129
Patriot Signature 4 GB PC3-10600 (1333 MHz) DDR3 Desktop Memory PSD34G13332,https://www.amazon.com/Patriot-psd34g13332-sobremesa-DDR3-Firma-1333-MHz/dp/B003GSLDJ0/ref=sr_1_439?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-439&ts_id=172500,18
16Gb (2X8Gb) Ram Memory Compatible with IBM Lenovo Thinkpad T430 1600Mhz Notebook by CMS Brand A12,https://www.amazon.com/Memory-Compatible-Thinkpad-1600Mhz-Notebook/dp/B00EPMDZX8/ref=sr_1_884?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-884&ts_id=172500,66
Timetec Hynix IC 32GB KIT(4x8GB) Compatible for Apple Late 2015 iMac 27-inch w/Retina 5K Display DDR3L 1866MHz / 1867MHz PC3L-14900 2Rx8 CL13 1.35V SODIMM Memory Upgrade (32GB KIT(4x8GB)),https://www.amazon.com/Timetec-PC3L-14900-1866MHz-display-27-inch/dp/B06Y5LVVQY/ref=sr_1_191?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-191&ts_id=172500,116
16Gb (4X4Gb) Memory Ram Compatible with Dell Poweredge 2850 Ddr2-Pc3200For Servers Only by CMS B48,https://www.amazon.com/Memory-Compatible-Dell-2850-Ddr2-Pc3200For/dp/B00CS7HG1Y/ref=sr_1_910?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-910&ts_id=172500,29
"8Gb (1X8Gb) Ram Memory Compatible with Acer Aspire R3-131T-C1Yf, R3-131T-C4Pm, R3-131T-C8Bb by CMS A8",https://www.amazon.com/Memory-Compatible-R3-131T-C1Yf-R3-131T-C4Pm-R3-131T-C8Bb/dp/B01EXAE0F8/ref=sr_1_835?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-835&ts_id=172500,35
Yongxinsheng DDR3 4GBx2 8GB Kit 1600MHz Desktop Computer DIMM RAM (PC3-12800) CL11 240Pin 1.5V Non-ECC Unbuffered Memory Stick Upgrade Module,https://www.amazon.com/Yongxinsheng-240-pin-1600MHz%EF%BC%88PC3-12800-Memory-Desktop/dp/B07ZRGD1F9/ref=sr_1_333?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-333&ts_id=172500,31
16Gb (2X8Gb) Memory Ram Compatible with Hp/Compaq Prodesk 400 G1 Series Sff/Mt by CMS Brand (A63),https://www.amazon.com/Memory-Compatible-Compaq-400-G1/dp/B01ATU5WDU/ref=sr_1_275?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-275&ts_id=172500,66
Lenovo 8 GB DDR3 1600 (PC3 12800) RAM 0A65724,https://www.amazon.com/Lenovo-DDR3-1600-12800-0A65724/dp/B008AZRMSK/ref=sr_1_533?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-533&ts_id=172500,34
16Gb (4X4Gb) Dimm Memory Ram Compatible with Dell Poweredge Sc1425 (1425Sc) for Servers Only by CMS B50,https://www.amazon.com/Memory-Compatible-Dell-Poweredge-Servers/dp/B00E6DCVUY/ref=sr_1_793?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-793&ts_id=172500,35
